Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;
SQLITE_OMIT_FOREIGN_KEY;-;-;X;X;-;-;X;X;X;-;-;-;-;-;-;-;
SQLITE_OMIT_LOAD_EXTENSION;-;-;X;X;X;-;X;-;-;X;X;X;-;X;-;-;
SQLITE_OMIT_OR_OPTIMIZATION;-;-;X;X;X;-;-;X;-;X;-;X;-;-;-;-;
SQLITE_OMIT_PAGER_PRAGMAS;-;X;X;-;-;X;X;-;X;-;-;X;-;X;-;-;
SQLITE_OMIT_PRAGMA;-;-;X;X;-;X;-;X;X;X;X;-;-;-;-;-;
SQLITE_OMIT_SHARED_CACHE;-;X;-;X;X;-;X;-;-;X;-;X;-;-;X;-;
SQLITE_OMIT_SUBQUERY;-;-;X;-;X;X;X;-;X;-;-;-;-;-;-;-;
SQLITE_OMIT_TRACE;-;X;X;-;-;X;-;X;-;X;-;X;X;-;-;-;
SQLITE_OMIT_TRIGGER;-;X;-;X;-;X;-;-;X;-;X;-;-;-;-;-;
SQLITE_OMIT_VACUUM;-;-;X;X;X;-;X;-;X;X;-;-;X;-;-;-;
SQLITE_OMIT_VIEW;-;X;-;X;-;X;X;-;X;-;-;-;X;-;-;-;
SQLITE_OMIT_VIRTUALTABLE;-;X;-;-;X;X;-;-;X;X;X;-;-;-;-;-;
SQLITE_OMIT_WAL;X;-;X;-;X;X;X;-;-;-;X;-;X;X;X;X;
SQLITE_OS_OTHER;-;X;X;-;-;X;X;-;-;X;-;X;-;-;X;-;
SQLITE_OS_UNIX;-;X;X;-;-;X;-;X;-;X;X;-;X;-;-;-;
SQLITE_OS_WIN;-;-;X;X;-;X;-;X;-;X;X;X;X;-;-;-;
SQLITE_OS_WINCE;-;X;-;-;X;-;X;X;X;X;-;-;-;-;-;-;
SQLITE_OS_WINNT;-;X;-;X;-;-;-;X;X;X;-;X;-;-;-;-;
SQLITE_OS_WINRT;-;X;-;X;-;-;-;X;X;X;X;-;-;-;-;-;
SQLITE_RTREE_INT_ONLY;-;X;X;X;-;-;-;-;-;-;X;-;-;-;-;-;
SQLITE_SMALL_STACK;-;X;X;-;X;-;X;X;-;-;-;-;X;-;-;-;
SQLITE_SYSTEM_MALLOC;-;X;X;-;-;X;-;X;X;-;X;-;-;X;-;-;
SQLITE_TCL;-;X;X;X;-;-;-;-;-;X;-;-;-;-;-;-;
SQLITE_TEST;-;X;X;-;X;-;-;X;-;X;-;X;X;-;-;-;
SQLITE_THREADSAFE;-;-;X;-;X;X;-;X;X;-;-;-;-;-;-;-;
SQLITE_WIN32_FILEMAPPING_API;-;X;-;-;X;X;-;X;-;-;X;-;-;-;-;-;
SQLITE_WIN32_HAS_ANSI;-;X;-;X;-;X;-;-;-;X;X;-;-;-;-;-;
SQLITE_WIN32_HAS_WIDE;-;X;X;-;-;X;-;X;-;X;X;-;-;X;-;-;
SQLITE_WIN32_MALLOC;-;X;-;X;-;X;-;-;X;X;-;X;-;-;-;-;
SQLITE_WIN32_MALLOC_VALIDATE;-;-;X;-;X;X;X;X;-;-;-;-;-;-;-;-;
SQLITE_WITHOUT_MSIZE;-;-;X;X;-;X;-;X;-;X;X;X;-;X;-;-;
SQLITE_WITHOUT_ZONEMALLOC;-;X;X;-;-;X;X;-;-;X;-;X;-;X;-;-;
SQLITE_ZERO_MALLOC;-;X;X;-;-;-;X;X;X;-;X;-;-;-;-;-;
STRERROR_R_CHAR_P;-;-;X;X;X;-;X;-;X;-;X;-;-;X;-;-;
TCLSH;-;-;X;X;-;X;X;-;X;-;-;X;-;-;-;-;
THREADSAFE;-;X;-;X;-;X;-;X;-;-;X;X;-;X;-;-;
TRANSLATE_TRACE;-;-;X;X;-;X;-;X;X;X;-;-;X;-;-;-;
USE_PREAD;-;X;-;X;-;X;X;-;-;X;-;-;-;-;-;-;
USE_PREAD64;-;X;X;-;-;X;X;-;-;-;X;X;-;X;-;-;
VDBE_PROFILE;-;X;X;-;-;X;-;X;X;-;-;X;-;-;-;-;
WIN32;-;X;X;-;-;X;X;-;X;-;-;-;X;X;-;-;
YYERRORSYMBOL;-;X;X;-;-;X;-;-;X;X;X;-;-;-;-;-;
YYNOERRORRECOVERY;-;X;X;-;-;X;X;-;X;-;X;-;X;-;-;-;
_BSD_SOURCE;-;X;-;-;X;-;X;X;X;-;X;-;-;-;-;-;
